PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,0.884,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,31,ppm,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,180,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.1,mg/L,static,-,mayfly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,255.6,ppm,"topical, general",-,spotted tentiform leafminer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.32,mg/L,static,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.94,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,18,mg/L,aquatic - not reported,-,european physa,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.6,mg/L,aquatic - not reported,-,snail,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.07,ug/eu,"environmental, unspecified",-,aphid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10.2,mg/L,dipped or soaked,-,root-knot nematode,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,130,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,118.1,ppm,"environmental, unspecified",-,coffee borer beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,5,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,33.716,mg/L,dipped or soaked,-,green peach aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,10069,mg/L,dipped or soaked,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.05,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3890,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,883.93,ppm,oral,-,land snail,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,30,ug/eu,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.301,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,51,ppm,"environmental, unspecified",-,14-spot ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,7.2,mg/L,static,-,brine shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.343,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,130,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.2,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
