PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,10.4,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.007,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.49,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1331.4,mg/L,"environmental, unspecified",-,parasitic wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0004,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0334,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0009,mg/L,static,-,crimson-spotted rainbowfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.89,ppm,dipped or soaked,-,spirea aphid,ECOTOX,ECOTOX Details
5,LC50,-,ecotox,10.6,mg/kg,-,-,tiger worm,EFSA,EFSA details
5,LC50,-,ecotox,0.0001,mg/L,-,-,rainbow trout,EFSA,EFSA details
6,LC90,-,mortality:acute,359,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,13.6,mg/L,"environmental, unspecified",-,oblique banded leaf roller,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,50.6,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
-1,LC90,-,mortality:acute,5.9,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
-1,LC90,-,mortality:acute,1.35,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,21.8,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
-1,LC90,-,mortality:acute,4.59,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,285,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,81.8,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,5.42,mg/L,"environmental, unspecified",-,oblique banded leaf roller,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,63.1,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,1.45,ppm,oral,-,oriental fruit moth,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,59.3,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,1.62,ppm,oral,-,oriental fruit moth,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,1.56,ppm,oral,-,oriental fruit moth,ECOTOX,ECOTOX Details
-1,LC90,-,mortality:acute,1.45,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,1.26,ppm,oral,-,oriental fruit moth,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,13.7,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,69.9,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,55.1,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,0.71,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,620,ppm,"environmental, unspecified",-,predatory mite,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,26.4,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LC90,-,mortality:acute,52.6,mg/L,"environmental, unspecified",-,rough bollworm,ECOTOX,ECOTOX Details
6,LD0,-,mortality:chronic,0.42,ppm,"topical, general",-,lacewing,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0001,mg/L,renewal,-,chinook salmon,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0006,mg/L,static,-,striped bass,ECOTOX,ECOTOX Details
-1,LD0,-,mortality:acute,148,ppm,oral,-,japanese medaka,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0001,mg/L,renewal,-,chinook salmon,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0001,mg/L,renewal,-,chinook salmon,ECOTOX,ECOTOX Details
-1,LD0,-,mortality:chronic,320,ppm,oral,-,norway rat,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0003,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LD0,-,mortality:acute,0.0001,mg/L,renewal,-,chinook salmon,ECOTOX,ECOTOX Details
